reversed_path,pred_0,pred_1,pred_2,input,mean,deviation,VaR(CCC)
"['h1_1', 'h0_2', 'x_1']",-9.151371105750612e-05,0.0005405549627206243,0.00788819564725504,x_1,0.002779078966306053,0.004435897050964585,1.9677182646756306e-05
"['h1_5', 'h0_4', 'x_0']",-5.836564212297442e-05,0.0005073162512460941,0.007312636408866635,x_0,0.0025871956726632515,0.0041021142859078395,1.6827341614649187e-05
"['h1_1', 'h0_4', 'x_0']",-8.397523064703536e-05,0.0004960265204777836,0.007238402215498943,x_0,0.0025501511684432304,0.0040704881670373646,1.6568873917991204e-05
"['h1_4', 'h0_0', 'x_0']",0.0007953831461893503,0.000832501270158069,0.007695015548196429,x_0,0.003107633321514616,0.0039728328946784155,1.578340120903888e-05
"['h1_3', 'h0_4', 'x_3']",0.003045896290404497,0.0003084689516079639,-0.001013177758548976,x_3,0.0007803958278211617,0.002070279393244097,4.286056766091146e-06
"['h1_3', 'h0_4', 'x_2']",0.0028619109680906155,0.00028983609149903374,-0.000951977435657111,x_2,0.0007332565413108461,0.0019452255551847522,3.7839024605438277e-06
"['h1_3', 'h0_3', 'x_1']",0.002735296197562514,0.00027701335500405626,-0.0009098606801369096,x_1,0.0007008162908098869,0.0018591661738688351,3.4564988620580833e-06
"['h1_0', 'h0_4', 'x_3']",0.0021576577139388077,0.00039857641473360156,-0.0010658002026973704,x_3,0.0004968113086583463,0.0016139726781669562,2.6049078058694167e-06
"['h1_0', 'h0_4', 'x_2']",0.0020273258470290038,0.00037450067375630964,-0.0010014212563644882,x_2,0.00046680175480694175,0.001516481741153171,2.2997168712509535e-06
"['h1_3', 'h0_5', 'x_1']",0.0021764813368515597,0.00022042014965773546,-0.0007239781897177121,x_1,0.0005576410989305277,0.001479342706335467,2.1884548427879437e-06
"['h1_3', 'h0_4', 'x_1']",0.0021271205354544973,0.00021542120248233484,-0.0007075589615656546,x_1,0.0005449942587903925,0.0014457924340270222,2.0903157622897813e-06
"['h1_0', 'h0_3', 'x_1']",0.0018564687570181684,0.00034293885283893206,-0.0009170244032448112,x_1,0.0004274610688707631,0.001388677097549528,1.928424081258581e-06
"['h1_3', 'h0_2', 'x_2']",0.0018841643748461058,0.00019081615194740215,-0.0006267427568227856,x_2,0.00048274592332357415,0.0012806564330562014,1.6400808995282327e-06
"['h1_3', 'h0_2', 'x_3']",0.0016887020062272184,0.00017102096978160672,-0.000561724743851747,x_3,0.0004326660773856927,0.0011478017081001442,1.3174487611176089e-06
"['h1_0', 'h0_4', 'x_1']",0.001506813625355426,0.00027834830732699744,-0.0007443081712897295,x_1,0.00034695125379756464,0.0011271278139727812,1.2704171090310608e-06
"['h1_0', 'h0_5', 'x_1']",0.001475018744215379,0.0002724749523227197,-0.0007286027187775513,x_1,0.0003396303259201824,0.0011033445840683848,1.217369271193037e-06
"['h1_3', 'h0_4', 'x_0']",0.0016202479679921183,0.0001640883813431118,-0.0005389543989647075,x_0,0.00041512731679017417,0.0011012738649858107,1.2128041257007856e-06
"['h1_0', 'h0_2', 'x_2']",0.0012542773837680551,0.0002316981880277472,-0.0006195649482411986,x_2,0.00028880354118486794,0.0009382254725421119,8.802670373268692e-07
"['h1_3', 'h0_2', 'x_0']",0.0013688668673082734,0.00013863010660595588,-0.0004553357475566488,x_0,0.00035072040878586015,0.0009304114773738968,8.656655172290773e-07
"['h1_3', 'h0_2', 'x_1']",0.001335673136881232,0.00013526845727566072,-0.00044429428514773585,x_1,0.0003422157696697189,0.0009078498766048577,8.241913984514553e-07
"['h1_0', 'h0_4', 'x_0']",0.0011477542875130556,0.00021202055634531803,-0.0005669466219667886,x_0,0.00026427607396386165,0.0008585439893121014,7.370977815839377e-07
"['h1_0', 'h0_2', 'x_3']",0.0011241592095740283,0.00020766192174375762,-0.0005552915579185765,x_3,0.00025884319113306974,0.0008408943821075871,7.071033618601007e-07
"['h1_0', 'h0_2', 'x_0']",0.0009112467977717869,0.00016833137121194684,-0.00045012098791126606,x_0,0.00020981906035748925,0.0006816314863889964,4.6462148323687257e-07
"['h1_0', 'h0_2', 'x_1']",0.0008891499224071138,0.00016424949422897122,-0.0004392059785052306,x_1,0.00020473114604361813,0.0006651025657538792,4.423614229723932e-07
"['h1_2', 'h0_5', 'x_2']",0.0008661465394070988,0.00014477046237122658,0.00041793455043072657,x_2,0.00047628385073635065,0.00036421057338376805,1.3264934176453308e-07
"['h1_2', 'h0_5', 'x_3']",0.0008661462159662253,0.00014477040831029962,0.00041793439436346784,x_3,0.00047628367287999763,0.00036421043737839176,1.3264924269535943e-07
"['h1_2', 'h0_5', 'x_0']",0.000688791313890281,0.00011512675102002881,0.0003323567953159275,x_0,0.0003787582867420791,0.0002896335296166654,8.38875814782078e-08
"['h1_2', 'h0_3', 'x_1']",-0.0004561341120785006,-7.623969305944005e-05,-0.0002200946334071151,x_1,-0.00025082281284835193,0.0001918022631756128,3.678810815928703e-08
"['h1_2', 'h0_5', 'x_1']",-1.3266868344398513e-05,-2.2174661873630534e-06,-6.4015526298070986e-06,x_1,-7.295295720522889e-06,5.57865615906973e-06,3.112140454112663e-11
